warehouse_demo_app,348.62%,954.4MiB / 9.539GiB
warehouse_demo_mysql,20.78%,515MiB / 9.539GiB
warehouse_demo_portal,55.09%,9.32MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,302.42%,964.6MiB / 9.539GiB
warehouse_demo_mysql,15.06%,515.2MiB / 9.539GiB
warehouse_demo_portal,48.48%,9.223MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,306.08%,963.2MiB / 9.539GiB
warehouse_demo_mysql,18.59%,515MiB / 9.539GiB
warehouse_demo_portal,22.74%,11.79MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,251.02%,958.8MiB / 9.539GiB
warehouse_demo_mysql,16.48%,515MiB / 9.539GiB
warehouse_demo_portal,43.31%,9.691MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,285.62%,972MiB / 9.539GiB
warehouse_demo_mysql,19.27%,515MiB / 9.539GiB
warehouse_demo_portal,26.51%,11.12MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,295.94%,967.2MiB / 9.539GiB
warehouse_demo_mysql,21.01%,515MiB / 9.539GiB
warehouse_demo_portal,31.78%,12.23MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,275.15%,964.5MiB / 9.539GiB
warehouse_demo_mysql,18.11%,515MiB / 9.539GiB
warehouse_demo_portal,29.82%,11.39MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,304.35%,975.4MiB / 9.539GiB
warehouse_demo_mysql,19.54%,515MiB / 9.539GiB
warehouse_demo_portal,22.42%,11.17MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,341.32%,987.1MiB / 9.539GiB
warehouse_demo_mysql,33.21%,515MiB / 9.539GiB
warehouse_demo_portal,22.58%,9.945MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,290.57%,983.7MiB / 9.539GiB
warehouse_demo_mysql,18.12%,515MiB / 9.539GiB
warehouse_demo_portal,23.31%,9.051MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,374.63%,975MiB / 9.539GiB
warehouse_demo_mysql,17.60%,515MiB / 9.539GiB
warehouse_demo_portal,30.22%,8.887MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,257.06%,974.5MiB / 9.539GiB
warehouse_demo_mysql,21.60%,515MiB / 9.539GiB
warehouse_demo_portal,24.04%,13.02MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,295.15%,954.5MiB / 9.539GiB
warehouse_demo_mysql,18.02%,515MiB / 9.539GiB
warehouse_demo_portal,25.50%,12.88MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,326.04%,965.2MiB / 9.539GiB
warehouse_demo_mysql,23.95%,515MiB / 9.539GiB
warehouse_demo_portal,20.10%,9.246MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,255.08%,953.8MiB / 9.539GiB
warehouse_demo_mysql,27.22%,515MiB / 9.539GiB
warehouse_demo_portal,23.31%,12.61MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,252.40%,955.8MiB / 9.539GiB
warehouse_demo_mysql,17.15%,515.3MiB / 9.539GiB
warehouse_demo_portal,25.77%,14.93MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,194.25%,951.8MiB / 9.539GiB
warehouse_demo_mysql,17.05%,515MiB / 9.539GiB
warehouse_demo_portal,24.13%,14.92MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,299.52%,962.6MiB / 9.539GiB
warehouse_demo_mysql,25.94%,515MiB / 9.539GiB
warehouse_demo_portal,27.60%,11.98MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,257.32%,958MiB / 9.539GiB
warehouse_demo_mysql,28.27%,515MiB / 9.539GiB
warehouse_demo_portal,17.51%,8.273MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,0.26%,950.9MiB / 9.539GiB
warehouse_demo_mysql,0.87%,515MiB / 9.539GiB
warehouse_demo_portal,0.00%,8.152MiB / 9.539GiB
