warehouse_demo_app,126.43%,898.9MiB / 9.539GiB
warehouse_demo_mysql,336.00%,501.6MiB / 9.539GiB
warehouse_demo_portal,15.16%,13.77MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,60.48%,899.4MiB / 9.539GiB
warehouse_demo_mysql,654.85%,502.5MiB / 9.539GiB
warehouse_demo_portal,8.34%,13.77MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,159.40%,899.4MiB / 9.539GiB
warehouse_demo_mysql,866.75%,502.4MiB / 9.539GiB
warehouse_demo_portal,21.04%,13.99MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,113.52%,900MiB / 9.539GiB
warehouse_demo_mysql,754.91%,502.3MiB / 9.539GiB
warehouse_demo_portal,7.10%,13.72MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,107.68%,900MiB / 9.539GiB
warehouse_demo_mysql,716.70%,502.7MiB / 9.539GiB
warehouse_demo_portal,14.73%,13.75MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,94.26%,899.9MiB / 9.539GiB
warehouse_demo_mysql,707.90%,502.4MiB / 9.539GiB
warehouse_demo_portal,7.86%,13.76MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,59.25%,899.9MiB / 9.539GiB
warehouse_demo_mysql,789.00%,502.3MiB / 9.539GiB
warehouse_demo_portal,6.41%,13.79MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,84.50%,899.9MiB / 9.539GiB
warehouse_demo_mysql,678.69%,502.1MiB / 9.539GiB
warehouse_demo_portal,7.58%,13.8MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,79.36%,900.2MiB / 9.539GiB
warehouse_demo_mysql,793.20%,502.8MiB / 9.539GiB
warehouse_demo_portal,5.64%,13.81MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,83.19%,899.9MiB / 9.539GiB
warehouse_demo_mysql,777.98%,502.7MiB / 9.539GiB
warehouse_demo_portal,6.53%,13.78MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,91.96%,900.5MiB / 9.539GiB
warehouse_demo_mysql,722.86%,502.7MiB / 9.539GiB
warehouse_demo_portal,8.86%,13.78MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,75.06%,900.2MiB / 9.539GiB
warehouse_demo_mysql,697.85%,502.5MiB / 9.539GiB
warehouse_demo_portal,6.87%,13.79MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,87.96%,901MiB / 9.539GiB
warehouse_demo_mysql,919.93%,502.4MiB / 9.539GiB
warehouse_demo_portal,6.57%,13.76MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,72.24%,900.5MiB / 9.539GiB
warehouse_demo_mysql,704.75%,503.3MiB / 9.539GiB
warehouse_demo_portal,5.00%,13.75MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,80.64%,900.5MiB / 9.539GiB
warehouse_demo_mysql,685.81%,502.7MiB / 9.539GiB
warehouse_demo_portal,2.66%,13.04MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,54.60%,899.9MiB / 9.539GiB
warehouse_demo_mysql,506.61%,502.1MiB / 9.539GiB
warehouse_demo_portal,3.46%,10.43MiB / 9.539GiB
db_threads_connected,16
warehouse_demo_app,0.25%,899.6MiB / 9.539GiB
warehouse_demo_mysql,5.89%,502MiB / 9.539GiB
warehouse_demo_portal,0.00%,7.891MiB / 9.539GiB
