warehouse_demo_app,179.41%,871MiB / 9.539GiB
warehouse_demo_mysql,11.09%,529.7MiB / 9.539GiB
warehouse_demo_portal,13.01%,9.895MiB / 9.539GiB
db_threads_connected,15
warehouse_demo_app,363.16%,858.3MiB / 9.539GiB
warehouse_demo_mysql,19.36%,529.8MiB / 9.539GiB
warehouse_demo_portal,45.91%,10.95MiB / 9.539GiB
db_threads_connected,15
warehouse_demo_app,299.25%,857.7MiB / 9.539GiB
warehouse_demo_mysql,15.64%,530MiB / 9.539GiB
warehouse_demo_portal,19.99%,14.65MiB / 9.539GiB
db_threads_connected,15
warehouse_demo_app,289.69%,865.1MiB / 9.539GiB
warehouse_demo_mysql,21.99%,529.8MiB / 9.539GiB
warehouse_demo_portal,27.80%,9.281MiB / 9.539GiB
db_threads_connected,13
warehouse_demo_app,261.90%,861.9MiB / 9.539GiB
warehouse_demo_mysql,14.44%,529.8MiB / 9.539GiB
warehouse_demo_portal,18.54%,9.371MiB / 9.539GiB
db_threads_connected,13
warehouse_demo_app,278.34%,855.5MiB / 9.539GiB
warehouse_demo_mysql,14.10%,529.8MiB / 9.539GiB
warehouse_demo_portal,28.07%,11.01MiB / 9.539GiB
db_threads_connected,13
warehouse_demo_app,283.31%,860.5MiB / 9.539GiB
warehouse_demo_mysql,21.72%,529.8MiB / 9.539GiB
warehouse_demo_portal,26.90%,13.09MiB / 9.539GiB
db_threads_connected,13
warehouse_demo_app,261.97%,857.3MiB / 9.539GiB
warehouse_demo_mysql,17.99%,529.8MiB / 9.539GiB
warehouse_demo_portal,33.78%,14.31MiB / 9.539GiB
db_threads_connected,12
warehouse_demo_app,318.07%,862.2MiB / 9.539GiB
warehouse_demo_mysql,16.72%,529.7MiB / 9.539GiB
warehouse_demo_portal,20.42%,12.31MiB / 9.539GiB
db_threads_connected,11
warehouse_demo_app,263.66%,862.6MiB / 9.539GiB
warehouse_demo_mysql,17.42%,529.8MiB / 9.539GiB
warehouse_demo_portal,16.39%,13.48MiB / 9.539GiB
db_threads_connected,11
warehouse_demo_app,257.66%,867MiB / 9.539GiB
warehouse_demo_mysql,16.09%,529.8MiB / 9.539GiB
warehouse_demo_portal,17.14%,10.48MiB / 9.539GiB
db_threads_connected,11
warehouse_demo_app,282.72%,852.1MiB / 9.539GiB
warehouse_demo_mysql,19.36%,529.7MiB / 9.539GiB
warehouse_demo_portal,22.33%,11.41MiB / 9.539GiB
db_threads_connected,11
warehouse_demo_app,278.41%,865.3MiB / 9.539GiB
warehouse_demo_mysql,17.59%,529.8MiB / 9.539GiB
warehouse_demo_portal,18.37%,10.72MiB / 9.539GiB
db_threads_connected,11
warehouse_demo_app,226.60%,854.8MiB / 9.539GiB
warehouse_demo_mysql,19.49%,529.8MiB / 9.539GiB
warehouse_demo_portal,29.96%,13.59MiB / 9.539GiB
db_threads_connected,12
warehouse_demo_app,304.12%,851.1MiB / 9.539GiB
warehouse_demo_mysql,23.99%,529.8MiB / 9.539GiB
warehouse_demo_portal,20.22%,11.87MiB / 9.539GiB
db_threads_connected,12
warehouse_demo_app,291.37%,845.5MiB / 9.539GiB
warehouse_demo_mysql,35.88%,529.8MiB / 9.539GiB
warehouse_demo_portal,23.17%,13.51MiB / 9.539GiB
db_threads_connected,12
warehouse_demo_app,314.46%,850.8MiB / 9.539GiB
warehouse_demo_mysql,40.59%,530MiB / 9.539GiB
warehouse_demo_portal,13.73%,8.211MiB / 9.539GiB
db_threads_connected,12
